Product name,Reference,Category,SKU,Price CZK,Price EUR,Imp. Cost USD,Imp. Cost EUR,Imp. Cost CZK,Supplier,Weight (g),Imported (pcs),Stock (pcs),Total orders
4XC - 5in1,HDL4: 5in1 - 4XC,Đầu bào,A0000038,180,8,4.82,4.11,106.81,Hytoos,100,50,50,0
M - nhỏ tròn,HDL4: M small smooth,Đầu bào,A0000040,180,8,3.25,2.77,72.02,Hytoos,100,50,-6,0
XF - nhỏ,HDL5: XF small,Đầu bào,A0000054,180,8,3.45,2.94,80.04,Hytoos,100,50,50,0
Sticker - 5D,Stickers - 5D,Design,A0000061,40,2,0.7370216606,0.63,16.91,"Guangzhou Fantastic Beauty Nail Co., Ltd.",100,100,100,0
Sticker - 3D,Stickers - 3D,Design,A0000062,30,1.5,0.2470216606,0.21,5.67,"Guangzhou Fantastic Beauty Nail Co., Ltd.",100,400,400,0
Sticker - 2D,Stickers - 2D,Design,A0000063,25,1,0.3070216606,0.26,7.05,"Guangzhou Fantastic Beauty Nail Co., Ltd.",100,4800,-2,0
Foil sticker,Foil stickers,Design,A0000064,100,8,1.027021661,0.88,23.57,"Guangzhou Fantastic Beauty Nail Co., Ltd.",100,240,-2,0
Tips natur nhọn ngắn,Tips natur nhọn ngắn,Tips,A0000066,290,10,1.23,1.05,26.68,YIWU Mylove Jewelry Co.,100,100,-45,0
Tips natur thẳng ngắn,Tips natur thẳng ngắn,Tips,A0000067,290,10,1.68,1.43,36.45,YIWU Mylove Jewelry Co.,100,100,-1,0
Tips natur nhọn dài,Tips natur nhọn dài,Tips,A0000068,290,10,1.66,1.42,36.01,YIWU Mylove Jewelry Co.,100,100,-2,0
Tips trong nhọn ngắn,Tips trong nhọn ngắn,Tips,A0000070,290,10,1.41,1.20,30.59,YIWU Mylove Jewelry Co.,100,100,100,0
Đá nhỏ 7mầu,Đá nhỏ 7mầu,Design,A0000071,90,3,0.96,0.82,20.83,YIWU Mylove Jewelry Co.,100,50,-1,0
Bút vẽ (1set=3c),Bút vẽ (1set=3c),Bút,A0000073,180,7,2.57,2.19,55.76,YIWU Mylove Jewelry Co.,100,200,-2,0
Hộp đựng móng (0-9),Hộp đựng móng (0-9),Tools & Accessories,A0000075,50,2,0.86,0.73,18.66,YIWU Mylove Jewelry Co.,100,50,50,0
Cây fen - V shape,Cây fen - V shape,Tools & Accessories,A0000083,170,6,0.45,0.38,9.78,"Hefei Yujinxuan International Trade Co., Ltd.",100,100,-1,0
Cây fen - U shape,Cây fen - U shape,Tools & Accessories,A0000084,170,6,0.45,0.38,9.78,"Hefei Yujinxuan International Trade Co., Ltd.",100,100,-1,0
Mịn Fusion,Mịn Fusion,Đầu bào,A0000096,180,8,2.96,2.53,64.24,Hytoos,100,50,-1,0
French A,French A,Tools & Accessories,A0000097,150,6,0.7,0.60,15.19,"Hefei Yujinxuan International Trade Co., Ltd.",100,100,100,0
French B,French B,Tools & Accessories,A0000098,150,6,0.7,0.60,15.19,"Hefei Yujinxuan International Trade Co., Ltd.",100,100,-1,0
Sticker lửa,Sticker lửa,Design,A0000102,130,6,1.8,1.54,39.07,"Hefei Yujinxuan International Trade Co., Ltd.",100,100,99,0
Bút vẽ 2 đầu - 7/11mm,Yi: Bút vẽ 2 đầu - 7/11mm,Bút,A0000107,309,12,3.336,2.88,72.76,"Jiangxi Yihuale Pen Industry Co., Ltd.",100,250,-1,0
Chrome Red,Chrome Red,Design,A0000111,200,7,4.44,3.83,97.27,TBC,100,50,-1,0
Sơn Ultra Black,Sơn Ultra Black,Hoá chất,A0000112,200,7,4.317,3.72,94.58,TBC,100,52,-2,0
Sơn Ultra White,Sơn Ultra White,Hoá chất,A0000113,200,7,4.317,3.72,94.58,TBC,100,52,52,0
Vỏ nhám tím ⌗60 - C,Vỏ nhám tím #60 - C,Tools & Accessories,A0000114,200,7,4.346,3.76,95.38,PLUSCLO,100,50,-10,0
Bút fen,Bút fen,Bút,A0000118,130,5,3.896,3.37,85.51,PLUSCLO,100,100,-1,0
Bút ombre,Bút ombre,Bút,A0000119,130,5,3.916,3.39,85.95,PLUSCLO,100,100,-1,0
Vỏ nhám trắng ⌗60 - C,Vỏ nhám trắng #60 - C,Tools & Accessories,A0000122,200,7,1.129,0.97,24.62,"Zhejiang Sowell Commodity Co., Ltd.",100,500,-1,0
Set sơn mầu vẽ 12 lọ,Set sơn mầu vẽ 12 lọ,Hoá chất,A0000124,700,30,17.646,15.23,384.75,Bellinails,100,51,-1,0
Đá kê sơn,Kê sơn,Tools & Accessories,A0000125,70,3,3,3.00,3.00,TBD,100,999,-1,0
Sticker Bướm,Sticker Bướm,Design,A0000133,40,1.5,0.962,0.85,21.12,Betty,100,50,-1,0
Đá rắc 28g,Đá rắc,Design,A0000134,160,8,1.392,1.23,30.57,Betty,100,400,-1,0
Kê tay Silicon,Kê tay Silicon,Tools & Accessories,A0000135,160,8,1.842,1.63,40.45,Betty,100,100,-1,0
Bút mực vẽ,Bút mực vẽ,Design,A0000137,100,5,1.021,0.90,22.33,TBD,100,200,-3,0
5in1 Phá 2XC,5in1 Phá 2XC,Đầu bào,A0000138,210,10,4.231,3.75,92.55,TBD,100,100,-10,0
Bút đắp gel sz14,Bút đắp gel sz14,Bút,A0000143,170,7,2.281,2.02,49.89,TBD,100,200,-1,0
Tips thường gói 50c,Tips thường gói 50c,Tips,A0000148,15,0.6,,0.50,15.00,,100,,-20,0
Bút gel đỏ sz8,Bút gel đỏ sz8,Bút,A0000151,130,7,3.073,2.72,66.78,Baowang Brush,100,500,-1,0
In French,In French,Design,A0000166,130,5,0.729,0.70,17.29,Again,100,60,-1,0
Dao cắt fen,030722 Dao cắt Fen,Tools & Accessories,A0000167,180,8,0.529,0.51,12.55,Again,100,100,100,0
Sticker playboy,Sticker playboy,Design,A0000170,30,1,0.379,0.36,8.99,Again,100,400,-1,0
Gold foil,Gold foil,Design,A0000173,300,15,1.169,1.12,27.72,Again,100,100,-1,0
Bút gel - tròn 10,030722 Bút gel - tròn 10,Bút,A0000174,150,6,2.649,2.54,62.82,Again,100,393,-2,0
Bút gel quét mầu - tròn 8,030722 Bút gel quét mầu - tròn 8,Bút,A0000175,150,6,2.339,2.24,55.47,Again,100,206,-1,0
Set bào & vỏ mịn da chân,Set bào & vỏ mịn da chân,Đầu bào,A0000178,200,8,2.605,2.50,61.78,DBQ,100,50,50,0
Tips Vuông trong XXL,2208 Tips Vuông trong XXL,Tips,A0000188,290,10,2.3,2.24,55.18,TBR,100,50,-1,0
Bấm móng 777 Korea,2208 Bấm móng 777 Korea,Tools & Accessories,A0000189,120,6,2.9,2.81,68.39,https://diynailpolish.m.en.alibaba.com/index.html?wx_navbar_transparent=true&tracelog=sns_minisite,100,200,-20,0
