Product name,Reference,Category,SKU,Price CZK,Price EUR,Imp. Cost EUR,Imp. Cost CZK,Weight (g),Imported (pcs),Stock (pcs),Total orders
4XC - 5in1,HDL4: 5in1 - 4XC,Đầu bào,A0000038,180,8,4.11,106.81,100,50,50,0
M - nhỏ tròn,HDL4: M small smooth,Đầu bào,A0000040,180,8,2.77,72.02,100,50,-6,0
XF - nhỏ,HDL5: XF small,Đầu bào,A0000054,180,8,2.94,80.04,100,50,50,0
Sticker - 5D,Stickers - 5D,Design,A0000061,40,2,0.63,16.91,100,100,100,0
Sticker - 3D,Stickers - 3D,Design,A0000062,30,1.5,0.21,5.67,100,400,400,0
Sticker - 2D,Stickers - 2D,Design,A0000063,25,1,0.26,7.05,100,4800,-2,0
Foil sticker,Foil stickers,Design,A0000064,100,8,0.88,23.57,100,240,-2,0
Tips natur nhọn ngắn,Tips natur nhọn ngắn,Tips,A0000066,290,10,1.05,26.68,100,100,-45,0
Tips natur thẳng ngắn,Tips natur thẳng ngắn,Tips,A0000067,290,10,1.43,36.45,100,100,-1,0
Tips natur nhọn dài,Tips natur nhọn dài,Tips,A0000068,290,10,1.42,36.01,100,100,-2,0
Tips trong nhọn ngắn,Tips trong nhọn ngắn,Tips,A0000070,290,10,1.20,30.59,100,100,100,0
Đá nhỏ 7mầu,Đá nhỏ 7mầu,Design,A0000071,90,3,0.82,20.83,100,50,-1,0
Bút vẽ (1set=3c),Bút vẽ (1set=3c),Bút,A0000073,180,7,2.19,55.76,100,200,-2,0
Hộp đựng móng (0-9),Hộp đựng móng (0-9),Tools & Accessories,A0000075,50,2,0.73,18.66,100,50,50,0
Cây fen - V shape,Cây fen - V shape,Tools & Accessories,A0000083,170,6,0.38,9.78,100,100,-1,0
Cây fen - U shape,Cây fen - U shape,Tools & Accessories,A0000084,170,6,0.38,9.78,100,100,-1,0
Mịn Fusion,Mịn Fusion,Đầu bào,A0000096,180,8,2.53,64.24,100,50,-1,0
French A,French A,Tools & Accessories,A0000097,150,6,0.60,15.19,100,100,100,0
French B,French B,Tools & Accessories,A0000098,150,6,0.60,15.19,100,100,-1,0
Sticker lửa,Sticker lửa,Design,A0000102,130,6,1.54,39.07,100,100,99,0
Bút vẽ 2 đầu - 7/11mm,Yi: Bút vẽ 2 đầu - 7/11mm,Bút,A0000107,309,12,2.88,72.76,100,250,-1,0
Chrome Red,Chrome Red,Design,A0000111,200,7,3.83,97.27,100,50,-1,0
Sơn Ultra Black,Sơn Ultra Black,Hoá chất,A0000112,200,7,3.72,94.58,100,52,-2,0
Sơn Ultra White,Sơn Ultra White,Hoá chất,A0000113,200,7,3.72,94.58,100,52,52,0
Vỏ nhám tím ⌗60 - C,Vỏ nhám tím #60 - C,Tools & Accessories,A0000114,200,7,3.76,95.38,100,50,-10,0
Bút fen,Bút fen,Bút,A0000118,130,5,3.37,85.51,100,100,-1,0
Bút ombre,Bút ombre,Bút,A0000119,130,5,3.39,85.95,100,100,-1,0
Vỏ nhám trắng ⌗60 - C,Vỏ nhám trắng #60 - C,Tools & Accessories,A0000122,200,7,0.97,24.62,100,500,-1,0
Set sơn mầu vẽ 12 lọ,Set sơn mầu vẽ 12 lọ,Hoá chất,A0000124,700,30,15.23,384.75,100,51,-1,0
Đá kê sơn,Kê sơn,Tools & Accessories,A0000125,70,3,3.00,3.00,100,999,-1,0
Sticker Bướm,Sticker Bướm,Design,A0000133,40,1.5,0.85,21.12,100,50,-1,0
Đá rắc 28g,Đá rắc,Design,A0000134,160,8,1.23,30.57,100,400,-1,0
Kê tay Silicon,Kê tay Silicon,Tools & Accessories,A0000135,160,8,1.63,40.45,100,100,-1,0
Bút mực vẽ,Bút mực vẽ,Design,A0000137,100,5,0.90,22.33,100,200,-3,0
5in1 Phá 2XC,5in1 Phá 2XC,Đầu bào,A0000138,210,10,3.75,92.55,100,100,-10,0
Bút đắp gel sz14,Bút đắp gel sz14,Bút,A0000143,170,7,2.02,49.89,100,200,-1,0
Tips thường gói 50c,Tips thường gói 50c,Tips,A0000148,15,0.6,0.50,15.00,100,,-20,0
Bút gel đỏ sz8,Bút gel đỏ sz8,Bút,A0000151,130,7,2.72,66.78,100,500,-1,0
In French,In French,Design,A0000166,130,5,0.70,17.29,100,60,-1,0
Dao cắt fen,030722 Dao cắt Fen,Tools & Accessories,A0000167,180,8,0.51,12.55,100,100,100,0
Sticker playboy,Sticker playboy,Design,A0000170,30,1,0.36,8.99,100,400,-1,0
Gold foil,Gold foil,Design,A0000173,300,15,1.12,27.72,100,100,-1,0
Bút gel - tròn 10,030722 Bút gel - tròn 10,Bút,A0000174,150,6,2.54,62.82,100,393,-2,0
Bút gel quét mầu - tròn 8,030722 Bút gel quét mầu - tròn 8,Bút,A0000175,150,6,2.24,55.47,100,206,-1,0
Set bào & vỏ mịn da chân,Set bào & vỏ mịn da chân,Đầu bào,A0000178,200,8,2.50,61.78,100,50,50,0
Tips Vuông trong XXL,2208 Tips Vuông trong XXL,Tips,A0000188,290,10,2.24,55.18,100,50,-1,0
Bấm móng 777 Korea,2208 Bấm móng 777 Korea,Tools & Accessories,A0000189,120,6,2.81,68.39,100,200,-20,0
Sticker Halloween Phát sáng,2208 Sticker Halloween Phát sáng,Design,A0000193,50,2,0.38,9.41,100,600,-4,0
Top matte 15ml,2208 Top matte,Hoá chất,A0000196,250,10,1.92,47.32,100,200,-2,0
Foil gel,2208 Foil gel,Hoá chất,A0000197,250,10,2.02,49.76,100,100,-1,0
Sticker Playboy,2208 Playboy sticker,Design,A0000198,30,1,0.44,10.73,100,300,300,0
Bình xịt ombre bột,2208 Bình xịt ombre bột,Tools & Accessories,A0000201,200,8,3.60,88.69,100,200,-1,0
Tay giả mềm,2208 Tay giả mềm,Tools & Accessories,A0000202,250,10,3.60,88.69,100,50,-1,0
Tay giả khớp,2208 Tay giả khớp,Tools & Accessories,A0000203,800,38,10.63,261.64,100,10,-1,0
Bút Gradient,2209 Bút Gradient,Bút,A0000209,130,5,0.80,19.68,100,100,-1,0
Đầu Chổi sắt,2209 W Đầu Chổi sắt,Đầu bào,A0000211,100,4,0.56,13.78,100,200,-3,0
3in1 Mịn C - ngắn,2209 W 3in1 Mịn C - ngắn,Đầu bào,A0000214,200,8,2.68,65.68,100,100,-2,0
3XC ULTRA,2209 W 3XC,Đầu bào,A0000219,200,8,2.68,65.68,100,200,-3,0
5XC - Titan,2209 W 5XC - Titan,Đầu bào,A0000221,300,12,3.74,91.75,100,100,-4,0
Bào nhám Diamond nhỏ - M,2209 IBL Bào nhám Diamond nhỏ - M,Đầu bào,A0000222,130,5,0.50,12.30,100,100,-1,0
Bào nhám Diamond to - C,2209 IBL Bào nhám Diamond - C,Đầu bào,A0000223,130,5,1.50,36.90,100,100,-5,0
Hoa 3D Design,2209 Hoa nhựa 3D,Design,A0000225,75,3,0.62,15.17,100,100,-6,0
Sticker chữ,2209 Sticker chữ,Design,A0000230,30,1,0.26,6.36,100,800,-5,0
Tips Ballerina trong XXL,2209 Tip ballerina set,Tips,A0000232,290,10,2.12,51.89,100,50,-1,0
Tip ballerina ngắn 4/5/5/6,2209 Tip ballerina ngắn 4/5/5/6,Tools & Accessories,A0000233,100,4,0.60,14.68,100,100,100,0
Tip trong nhọn 4/5/5/6,2209 Tip trong nhọn 4/5/5/6,Tools & Accessories,A0000235,100,4,0.60,14.68,100,100,100,0
Lá Trái tim set,2209 Lá Trái tim,Design,A0000239,120,6,0.68,16.64,100,51,-1,0
Bột màu 56g,2210 Bột màu 56g,Hoá chất,A0000250,300,12,1.84,45.28,100,500,-2,0
Máy xịt ombre gel,2211 Máy xịt ombre gel,Đồ điện,A0000251,1900,80,13.42,329.02,100,100,-1,0
Sơn vẽ hũ Metallic 5g,2211 Sơn vẽ hữu Metallic,Design,A0000252,120,5,1.55,37.97,100,300,-1,0
Sơn vẽ hũ 5g,2211 Sơn vẽ hữu 5g,Design,A0000253,100,4,0.84,20.49,100,200,-1,0
Cuticle oil 15ml,2211 Cuticle oil 15ml,Hoá chất,A0000254,100,4,1.10,26.98,100,500,-1,0
Gel vẽ màng nhện 5g,2211 Gel vẽ màng nhện 5g,Design,A0000256,100,4,1.20,29.48,100,200,-1,0
Nhám trắng M ⌗240 (1000c),2211 Nhám trắng M ⌗240 (1000c),Tools & Accessories,A0000258,1000,40,8.83,214.47,100,50,-1,0
Tips trong nhọn dài,2211 Tip trong nhọn dài,Tips,A0000259,290,10,1.37,33.36,100,200,-1,0
Lẻ - Tip Trong nhọn,2211 Lẻ - Tip Trong nhọn - 7-8-9,Tips,A0000260,20,0.7,0.44,10.72,100,600,-10,0
Bào Diamond Cuticle 2.5mm,2211 Bào Diamond Cuticle 2.5mm,Đầu bào,A0000261,100,4,1.11,26.93,100,100,-1,0
Sticker F Noel - 3D,2211 Sticker F Noel,Design,A0000262,50,2,0.39,9.53,100,500,-5,0
Sticker STZ Noel - 5D,2211 Sticker STZ Noel,Design,A0000263,75,3,0.78,19.06,100,1000,-5,0
Kéo,2212 Kéo,Tools & Accessories,A0000266,120,6,1.67,40.29,100,400,-1,0
Máy Bào Btmarathon 3,2212 Máy Bào Btmarathon 3,Đồ điện,A0000267,3600,150,47.69,"1,153.38",100,5,-2,0
Bút chấm bi set 5c,2212 Bút chấm bi set 5c,Tools & Accessories,A0000268,120,5,1.38,33.46,100,100,-1,0
Cán dao cạo chân - hồng,2212 Cán dao cạo chân - hồng,Tools & Accessories,A0000270,120,5,1.32,31.87,100,100,-2,0
Đèn LED pin cầm tay,2212 Đèn LED pin cầm tay,Đồ điện,A0000271,250,10,2.23,53.95,100,100,-1,0
Khay inox,2212 Khay inox,Tools & Accessories,A0000272,150,6,1.90,45.98,100,20,-5,0
Tay thay máy bào di động,2507 Tay thay máy bào di động,Đồ điện,A0001032,900,35,12.87,317.44,100,10,-2,0
Cây đẩy da inox japan,2212 cây đẩy da inox japan,Tools & Accessories,A0000276,50,2,0.67,16.16,100,200,200,0
3XC Hoa cúc ULTRA,2212 3XC Hoa cúc,Đầu bào,A0000277,180,8,2.33,56.45,100,400,-2,0
Bút quan tài,2212 Bút quan tài,Bút,A0000278,1500,60,30.31,732.96,100,50,50,0
