Product name	Reference	Category	SKU	Price CZK	Price EUR	Imp. Cost EUR	Imp. Cost CZK
4XC - 5in1	HDL4: 5in1 - 4XC	Đầu bào	A0000038	180	8	4.11	106.81
M - nhỏ tròn	HDL4: M small smooth	Đầu bào	A0000040	180	8	2.77	72.02
XF - nhỏ	HDL5: XF small	Đầu bào	A0000054	180	8	2.94	80.04
Sticker - 5D	Stickers - 5D	Design	A0000061	40	2	0.63	16.91
Sticker - 3D	Stickers - 3D	Design	A0000062	30	1.5	0.21	5.67
Sticker - 2D	Stickers - 2D	Design	A0000063	25	1	0.26	7.05
Foil sticker	Foil stickers	Design	A0000064	100	8	0.88	23.57
Tips natur nhọn ngắn	Tips natur nhọn ngắn	Tips	A0000066	290	10	1.05	26.68
Tips natur thẳng ngắn	Tips natur thẳng ngắn	Tips	A0000067	290	10	1.43	36.45
Tips natur nhọn dài	Tips natur nhọn dài	Tips	A0000068	290	10	1.42	36.01
Tips trong nhọn ngắn	Tips trong nhọn ngắn	Tips	A0000070	290	10	1.20	30.59
Đá nhỏ 7mầu	Đá nhỏ 7mầu	Design	A0000071	90	3	0.82	20.83
Bút vẽ (1set=3c)	Bút vẽ (1set=3c)	Bút	A0000073	180	7	2.19	55.76
Hộp đựng móng (0-9)	Hộp đựng móng (0-9)	Tools & Accessories	A0000075	50	2	0.73	18.66
Cây fen - V shape	Cây fen - V shape	Tools & Accessories	A0000083	170	6	0.38	9.78
Cây fen - U shape	Cây fen - U shape	Tools & Accessories	A0000084	170	6	0.38	9.78
Mịn Fusion	Mịn Fusion	Đầu bào	A0000096	180	8	2.53	64.24
French A	French A	Tools & Accessories	A0000097	150	6	0.60	15.19
French B	French B	Tools & Accessories	A0000098	150	6	0.60	15.19
Sticker lửa	Sticker lửa	Design	A0000102	130	6	1.54	39.07
Bút vẽ 2 đầu - 7/11mm	Yi: Bút vẽ 2 đầu - 7/11mm	Bút	A0000107	309	12	2.88	72.76
Chrome Red	Chrome Red	Design	A0000111	200	7	3.83	97.27
Sơn Ultra Black	Sơn Ultra Black	Hoá chất	A0000112	200	7	3.72	94.58
Sơn Ultra White	Sơn Ultra White	Hoá chất	A0000113	200	7	3.72	94.58
Vỏ nhám tím ⌗60 - C	Vỏ nhám tím #60 - C	Tools & Accessories	A0000114	200	7	3.76	95.38
Bút fen	Bút fen	Bút	A0000118	130	5	3.37	85.51
Bút ombre	Bút ombre	Bút	A0000119	130	5	3.39	85.95
Vỏ nhám trắng ⌗60 - C	Vỏ nhám trắng #60 - C	Tools & Accessories	A0000122	200	7	0.97	24.62
Set sơn mầu vẽ 12 lọ	Set sơn mầu vẽ 12 lọ	Hoá chất	A0000124	700	30	15.23	384.75
Đá kê sơn	Kê sơn	Tools & Accessories	A0000125	70	3	3.00	3.00
Sticker Bướm	Sticker Bướm	Design	A0000133	40	1.5	0.85	21.12
Đá rắc 28g	Đá rắc	Design	A0000134	160	8	1.23	30.57
Kê tay Silicon	Kê tay Silicon	Tools & Accessories	A0000135	160	8	1.63	40.45
Bút mực vẽ	Bút mực vẽ	Design	A0000137	100	5	0.90	22.33
5in1 Phá 2XC	5in1 Phá 2XC	Đầu bào	A0000138	210	10	3.75	92.55
Bút đắp gel sz14	Bút đắp gel sz14	Bút	A0000143	170	7	2.02	49.89
Tips thường gói 50c	Tips thường gói 50c	Tips	A0000148	15	0.6	0.50	15.00
Bút gel đỏ sz8	Bút gel đỏ sz8	Bút	A0000151	130	7	2.72	66.78
In French	In French	Design	A0000166	130	5	0.70	17.29
Dao cắt fen	030722 Dao cắt Fen	Tools & Accessories	A0000167	180	8	0.51	12.55
Sticker playboy	Sticker playboy	Design	A0000170	30	1	0.36	8.99
Gold foil	Gold foil	Design	A0000173	300	15	1.12	27.72
Bút gel - tròn 10	030722 Bút gel - tròn 10	Bút	A0000174	150	6	2.54	62.82
Bút gel quét mầu - tròn 8	030722 Bút gel quét mầu - tròn 8	Bút	A0000175	150	6	2.24	55.47
Set bào & vỏ mịn da chân	Set bào & vỏ mịn da chân	Đầu bào	A0000178	200	8	2.50	61.78
Tips Vuông trong XXL	2208 Tips Vuông trong XXL	Tips	A0000188	290	10	2.24	55.18
Bấm móng 777 Korea	2601 Kìm bấm móng 777	Tools & Accessories	A0001244	120	6	1.58	38.27
Sticker Halloween Phát sáng	2208 Sticker Halloween Phát sáng	Design	A0000193	50	2	0.38	9.41
Top matte 15ml	2208 Top matte	Hoá chất	A0000196	250	10	1.92	47.32
Foil gel	2208 Foil gel	Hoá chất	A0000197	250	10	2.02	49.76
Sticker Playboy	2208 Playboy sticker	Design	A0000198	30	1	0.44	10.73
Bình xịt ombre bột	2208 Bình xịt ombre bột	Tools & Accessories	A0000201	200	8	3.60	88.69
Tay giả mềm	2208 Tay giả mềm	Tools & Accessories	A0000202	250	10	3.60	88.69
Tay giả khớp	2208 Tay giả khớp	Tools & Accessories	A0000203	800	38	10.63	261.64
Bút Gradient	2209 Bút Gradient	Bút	A0000209	130	5	0.80	19.68
Đầu Chổi sắt	2209 W Đầu Chổi sắt	Đầu bào	A0000211	100	4	0.56	13.78
3in1 Mịn C - ngắn	2209 W 3in1 Mịn C - ngắn	Đầu bào	A0000214	200	8	2.68	65.68
3XC ULTRA	2209 W 3XC	Đầu bào	A0000219	200	8	2.68	65.68
5XC - Titan	2209 W 5XC - Titan	Đầu bào	A0000221	300	12	3.74	91.75
Bào nhám Diamond nhỏ - M	2209 IBL Bào nhám Diamond nhỏ - M	Đầu bào	A0000222	130	5	0.50	12.30
Bào nhám Diamond to - C	2209 IBL Bào nhám Diamond - C	Đầu bào	A0000223	130	5	1.50	36.90
Hoa 3D Design	2209 Hoa nhựa 3D	Design	A0000225	75	3	0.62	15.17
Sticker chữ	2209 Sticker chữ	Design	A0000230	30	1	0.26	6.36
Tips Ballerina trong XXL	2209 Tip ballerina set	Tips	A0000232	290	10	2.12	51.89
Tip ballerina ngắn 4/5/5/6	2209 Tip ballerina ngắn 4/5/5/6	Tools & Accessories	A0000233	100	4	0.60	14.68
Tip trong nhọn 4/5/5/6	2209 Tip trong nhọn 4/5/5/6	Tools & Accessories	A0000235	100	4	0.60	14.68
Lá Trái tim set	2209 Lá Trái tim	Design	A0000239	120	6	0.68	16.64
Bột màu 56g	2210 Bột màu 56g	Hoá chất	A0000250	300	12	1.84	45.28
Máy xịt ombre gel	2211 Máy xịt ombre gel	Đồ điện	A0000251	1900	80	13.42	329.02
Sơn vẽ hũ Metallic 5g	2211 Sơn vẽ hữu Metallic	Design	A0000252	120	5	1.55	37.97
Sơn vẽ hũ 5g	2211 Sơn vẽ hữu 5g	Design	A0000253	100	4	0.84	20.49
Cuticle oil 15ml	2211 Cuticle oil 15ml	Hoá chất	A0000254	100	4	1.10	26.98
Gel vẽ màng nhện 5g	2211 Gel vẽ màng nhện 5g	Design	A0000256	100	4	1.20	29.48
Nhám trắng M ⌗240 (1000c)	2211 Nhám trắng M ⌗240 (1000c)	Tools & Accessories	A0000258	1000	40	8.83	214.47
Tips trong nhọn dài	2211 Tip trong nhọn dài	Tips	A0000259	290	10	1.37	33.36
Lẻ - Tip Trong nhọn	2211 Lẻ - Tip Trong nhọn - 7-8-9	Tips	A0000260	20	0.7	0.44	10.72
Bào Diamond Cuticle 2.5mm	2211 Bào Diamond Cuticle 2.5mm	Đầu bào	A0000261	100	4	1.11	26.93
Sticker F Noel - 3D	2211 Sticker F Noel	Design	A0000262	50	2	0.39	9.53
Sticker STZ Noel - 5D	2211 Sticker STZ Noel	Design	A0000263	75	3	0.78	19.06
Kéo	2212 Kéo	Tools & Accessories	A0000266	120	6	1.67	40.29
Máy Bào Btmarathon 3	2212 Máy Bào Btmarathon 3	Đồ điện	A0000267	3600	150	47.69	1,153.38
Bút chấm bi set 5c	2212 Bút chấm bi set 5c	Tools & Accessories	A0000268	120	5	1.38	33.46
Cán dao cạo chân - hồng	2212 Cán dao cạo chân - hồng	Tools & Accessories	A0000270	120	5	1.32	31.87
Đèn LED pin cầm tay	2212 Đèn LED pin cầm tay	Đồ điện	A0000271	250	10	2.23	53.95
Khay inox	2212 Khay inox	Tools & Accessories	A0000272	150	6	1.90	45.98
Tay thay máy bào di động	2507 Tay thay máy bào di động	Đồ điện	A0001032	900	35	12.87	317.44
Cây đẩy da inox japan	2212 cây đẩy da inox japan	Tools & Accessories	A0000276	50	2	0.67	16.16
3XC Hoa cúc ULTRA	2212 3XC Hoa cúc	Đầu bào	A0000277	180	8	2.33	56.45
Bút quan tài	2212 Bút quan tài	Bút	A0000278	1500	60	30.31	732.96
Bút vẽ 2 đầu - 10/20mm	2212 Bút vẽ 10/20mm	Bút	A0000281	309	12	2.78	67.15
Kéo - dài	2212 Kéo - dài	Tools & Accessories	A0000282	200	8	0.98	23.67
4XC - Titan	2301 4XC Titan	Đầu bào	A0000287	300	12	3.46	83.22
4XC trục nhỏ	2301 4XC trục nhỏ	Đầu bào	A0000290	200	8	3.46	83.22
Vỏ nhám trắng M ⌗240 (100c)	2301 Nhám trắng M ⌗240 (100c)	Tools & Accessories	A0000291	150	6	1.28	30.60
Găng tay Latex trắng - S	2301 Găng tay Latex - S	Tools & Accessories	A0000292	200	8	3.49	83.76
Găng tay Latex trắng - M	2301 Găng tay Latex - M	Tools & Accessories	A0000293	200	8	3.49	83.76
Chà chân 2 mặt	2301 Chà chân 2 mặt	Tools & Accessories	A0000296	25	1	0.60	14.30
Nước rửa cọ 120ml	2301 Nước rửa cọ 120ml	Hoá chất	A0000299	450	18	8.01	192.37
Bào gầm	2511 Bào gầm	Đầu bào	A0001180	180	8	2.64	63.81
Gel đính đá	2304 Gel đính đá	Hoá chất	A0000309	200	5	0.75	17.61
BNS keo	2304 BNS keo	Hoá chất	A0000317	12	0.6	0.39	9.00
15ml top coat tím loãng	2305 15ml thin top coat	Top Coat	A0000326	200	10	4.87	114.06
Tip Trong Vuông XXL - Lẻ	2306 Tip Trong Vuông XXL - Lẻ	Tips	A0000347	25	1	0.28	6.59
Chổi phủi bàn	2306 Chổi phủi bàn	Tools & Accessories	A0000352	180	8	4.14	98.49
Spa tablets 2gal 4000 viên	2307 Spa tablets 2gal 4000 viên	Hoá chất	A0000354	4300	180	147.18	3,484.17
Nhũ đường	2307 Nhũ đường	Design	A0000356	250	10	2.86	68.14
Bút quan tài sz18	2307 Bút quan tài sz18	Bút	A0000365	1300	53	20.02	481.26
Bút gel - vuông 10	2307 Bút gel sz10	Bút	A0000370	150	6	2.43	58.35
Súng bào korea	2307 Sùng bào Korea	Đồ điện	A0000375	350	15	4.75	114.10
XC	2307 XC	Đầu bào	A0000380	180	8	2.99	71.96
Bao ngón cái 500c	2307 Bao ngón cái 500c	Tools & Accessories	A0000383	100	4	2.09	50.14
Top coat 500ml	2308 Top coat 500ml	Top Coat	A0000393	2200	80	37.09	893.61
Chrome trắng gương 1g	2507 Chrome Trắng Gương 1g	Design	A0001062	120	10	4.82	118.18
Top matte 250ml	2308 Top matte 250ml	Hoá chất	A0000395	1200	50	13.17	317.23
Chà chân 1 lần 400c	2309 Chà chân 1 lần 400c xanh	Tools & Accessories	A0000402	1300	55	21.74	532.49
Bào mịn Diamond - M	2309 Bào nhám Diamond M - to	Đầu bào	A0000407	100	4	1.12	27.27
Mịn Fusion - C	2309 Mịn Fusion - C	Đầu bào	A0000412	170	8	3.09	75.39
Mịn Fusion - F	2309 Mịn Fusion - F	Đầu bào	A0000413	170	8	3.09	75.39
3XC răng thẳng	2309 3XC răng thẳng	Đầu bào	A0000414	180	8	3.28	79.97
4XC răng thẳng	2309 4XC răng thẳng	Đầu bào	A0000415	180	8	3.28	79.97
Trục nhám rẻ	2309 Trục nhám rẻ	Đầu bào	A0000416	50	2	0.37	8.94
Bút cán gỗ sz18	2309 Bút cán gỗ sz18	Bút	A0000420	1300	53	20.41	497.91
Chrome liquid - ngọc trai	2310 Chrome liquid - ngọc trai	Design	A0000434	120	5	2.42	58.91
Base coat 250ml	2505 Base coat 250ml	Hoá chất	A0000989	1200	50	10.51	261.78
Top loang - Blooming gel 15ml	2509 Blooming gel	Hoá chất	A0001104	250	10	3.21	77.64
5in1 Pedicure kit xanh	2312 Pedicure kit 5in1 200c	Tools & Accessories	A0000457	1470	60	20.28	491.06
Buffer đen cam 3 mặt	2312 Buffer đen cam 3 mặt	Tools & Accessories	A0000460	12	0.5	0.42	10.12
Tip ballerina - lẻ	2312 Típ ballerina - Lẻ	Tips	A0000464	20	0.8	0.60	14.61
Kim tuyến DL10-18	2312 Kim tuyến DL10-18	Design	A0000466	250	10	2.39	57.79
Kim tuyến DL01-09	2312 Kim tuyến DL01-09	Design	A0000467	250	10	1.20	29.01
Kim tuyến sáng 23g DL01-09	2312 Kim tuyến sáng 23g DL01-09	Design	A0000468	150	6	1.90	46.09
Cốc liquid	2312 Cốc liquid	Tools & Accessories	A0000470	100	4	1.62	39.12
XXS - Đầu tròn ULTRA	2312 XXS - Đầu tròn	Đầu bào	A0000471	180	8	2.31	55.99
Bào viên đạn	2312 Bào viên đạn	Đầu bào	A0000473	180	8	2.58	62.51
4XC Đầu tròn ULTRA	2312 4XC - Đàu tròn	Đầu bào	A0000478	180	8	2.31	55.99
Cán dao cạo chân - đen	2507 Cán dao cạo chân  - đen	Tools & Accessories	A0001050	130	5	1.01	24.96
Nhũ đường - T	2308 nhũ đường - T	Design	A0000480	250	10	0.81	19.62
